Name,SMILES,CH3,CH2,CH,C=O,OH,C,NH2,NH,N,BEN,O,C=C,C≡N,Si,CF3,Fragments,Polymer_BigSMILES,Augmented Recombined Fragment SMILES
pbi,[*]c5ccc(c4nc3cc(c2ccc1nc([*])oc1c2)ccc3o4)cc5,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,[''],{[][<]c1ccccc1[>][<]}{[>][<]c1ccc2ocnc2c1[>][<]}{[>][<]c1ccc2ocnc2c1[>][]},"['Cc(cc1)cc2c1nc(c3ccc(c(n4)oc5c4cc(C)cc5)cc3)o2','Cc5ccc(c4nc3cc(c2ccc1nc(C)oc1c2)ccc3o4)cc5']"
pim-1,CC6(C)CC4(CC(C)(C)c3cc2oc1c(C#N)c([*])c([*])c(C#N)c1oc2cc34)c5cc(O[*])c(O[*])cc56,4,2,0,0,0,3,0,0,2,3,4,0,2,0,0,[''],CC1(C)CC2(CC(C)(C)c3cc4c(cc32)Oc2c(C#N)ccc(C#N)c2O4)c2cc(O)c(O)cc21,['CC6(C)CC4(CC(C)(C)c3cc2oc1c(C#N)c(C)c(C)c(C#N)c1oc2cc34)c5cc(O(C))c(O(C))cc56']
ppsu,O=S(=O)(c1ccc([*])cc1)c4ccc(Oc3ccc(c2ccc(O[*])cc2)cc3)cc4,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,[''],{[][<]Oc1ccccc1[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O=S=O[>][<]}{[>][<]c1ccccc1[>][]},"['O=S(=O)(c1ccc(C)cc1)c4ccc(Oc3ccc(c2ccc(O(C))cc2)cc3)cc4','O=S(c1ccc(OC)cc1)(c2ccc(Oc3ccc(c4ccc(C)cc4)cc3)cc2)=O','O=S(c1ccc(c2ccc(C)cc2)cc1)(c3ccc(Oc4ccc(C)cc4)cc3)=O','O=S(c1ccc(Oc2ccc(c3ccc(C)cc3)cc2)cc1)(c4ccc(OC)cc4)=O','O=S(c1ccc(Oc2ccc(c3ccc(OC)cc3)cc2)cc1)(c4ccc(C)cc4)=O','O=S(c1ccc(Oc2ccc(c3ccc(Oc4ccc(C)cc4)cc3)cc2)cc1)(C)=O','Cc1ccc(Oc2ccc(c3ccc(Oc4ccc(S(=O)(C)=O)cc4)cc3)cc2)cc1']"
pbo,FC(F)(F)C(c1ccc([*])cc1)(c6ccc(c5nc4ccc(c3ccc2nc([*])oc2c3)cc4o5)cc6)C(F)(F)F,0,0,0,0,0,3,0,0,2,4,0,0,0,0,2,[''],{[][<]c1ccccc1[>][<]}{[>][<]FC(F)(F)CC(F)(F)F[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]c1ccc2ocnc2c1[>][<]}{[>][<]c1ccc2ocnc2c1[>][]},"['FC(F)(C(c1ccc(c(n2)oc3c2ccc(c(cc4)cc5c4nc(C)o5)c3)cc1)(C(F)(F)F)c6ccc(C)cc6)F','FC(F)(C(c1ccc(c(n2)oc3c2ccc(c(cc4)cc5c4nc(c6ccc(C)cc6)o5)c3)cc1)(C(F)(F)F)C)F','Cc1ccc(c(n2)oc3c2ccc(c(cc4)cc5c4nc(c6ccc(C(C(F)(F)F)(C)C(F)(F)F)cc6)o5)c3)cc1']"
ppo,Cc1cc([*])cc(C)c1O[*] ,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,[''],{[][<]O[>][<]}{[>][<]Cc1cccc(C)c1[>][]},['Cc1cc(C)cc(C)c1O(C)']
ppms,C[Si]([*])(O[*])c1ccccc1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,[''],{[][<]O[>][<]}{[>][<]C[Si]c1ccccc1[>][]},['C[Si](C)(O(C))c1ccccc1']
methanol,CO,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,CO,CO
ethanol,CCO,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,CCO,CCO
ipa,CC(C)O,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,CC(C)O,CC(C)O
n-butanol,CCCCO,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,,CCCCO,CCCCO
ethylene_glycol,OCCO,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,,OCCO,OCCO
acetic_acid,CC(=O)O,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,CC(=O)O,CC(=O)O
